"id";"date";"month_name";"year";"type";"country";"area";"location";"activity";"sex";"fatal"
1;"1923-05-22";"May";1923;"Unprovoked";"Australia";"Queensland";"Great Barrier Reef";"Water leisure activity";"M";"Y"
2;"1914-02-03";"February";1914;"Unprovoked";"Australia";"New South Wales";"Paramatta River";"Recreational water sport";"M";"N"
3;"1900-01-28";"January";1900;"Unprovoked";"Australia";"New South Wales";"Lane Cove River, Sydney Harbor (Estuary)";"Water leisure activity";"M";"N"
4;"1905-08-24";"August";1905;"Invalid";"Egypt";"Suez Canal";"Port Said";"Sinking or failure of vessel";"Not specified";"Not specified"
5;"1914-02-09";"February";1914;"Unprovoked";"Australia";"South Australia";"Marion Bay";"Water leisure activity";"M";"N"
6;"1914-03-03";"March";1914;"Unprovoked";"USA";"Hawaii";"Honomu, Hawai'i";"Irresponsible or dangerous behavior with sharks";"M";"Y"
7;"1914-03-14";"March";1914;"Invalid";"USA";"Florida";"St. Augustine, St Johns County";"Water leisure activity";"M";"Y"
8;"1900-07-01";"July";1900;"Provoked";"USA";"Connecticut";"Bridgeport, Fairfield County";"Not specified";"Not specified";"N"
9;"1914-05-14";"May";1914;"Provoked";"USA";"Florida";"Boca Ciega Bay, Pinellas County";"Fishing, catching, or hunting";"F";"N"
10;"1900-07-14";"July";1900;"Invalid";"USA";"Hawaii";"Makapu'u Point, O'ahu";"Fishing, catching, or hunting";"M";"Y"
11;"1900-07-31";"July";1900;"Unprovoked";"Croatia";"Primorje-Gorski Kotar County";"Volosko, Opatija";"Water leisure activity";"M";"Y"
12;"1914-05-31";"May";1914;"Sea Disaster";"New Caledonia";"South Province";"Noumea";"Water leisure activity";"M";"Y"
13;"1914-06-10";"June";1914;"Unprovoked";"Australia";"Victoria";"Sandringham";"Water leisure activity";"M";"Y"
14;"1923-05-23";"May";1923;"Unprovoked";"Australia";"Western Australia";"Southgates, near Geraldton";"Water leisure activity";"M";"N"
15;"1914-06-12";"June";1914;"Boating";"Montenegro";"Adriatic Sea";"Between St. Stjepan and Budva";"Fishing, catching, or hunting";"M";"N"
16;"1900-08-21";"August";1900;"Unprovoked";"USA";"North Carolina";"Southport, Brunswick County";"Water leisure activity";"M";"N"
17;"1914-07-07";"July";1914;"Unprovoked";"Croatia";"Primorje-Gorski Kotar County";"Rijeka";"Not specified";"M";"N"
18;"1905-09-29";"September";1905;"Unprovoked";"Australia";"New South Wales";"Waverly, Sydney";"Water leisure activity";"M";"Y"
19;"1914-07-09";"July";1914;"Provoked";"USA";"Louisiana";"New Orleans";"Fishing, catching, or hunting";"M";"N"
20;"1923-06-06";"June";1923;"Boating";"Mexico";"Vera Cruz";"Outside Vera Cruz Harbor";"Sinking or failure of vessel";"Not specified";"N"
21;"1914-07-15";"July";1914;"Unprovoked";"Croatia";"Zadar County";"Biograd na moru";"Incidents involving maintenance tasks or routine work";"F";"N"
22;"1905-12-29";"December";1905;"Invalid";"Australia";"Western Australia";"Geraldton";"Water leisure activity";"M";"N"
23;"1923-06-16";"June";1923;"Boating";"Australia";"New South Wales";"Bellambi Reef";"Recreational water sport";"M";"Y"
24;"1900-09-05";"September";1900;"Unprovoked";"USA";"Hawaii";"Waikiki Beach, Oahu";"Water leisure activity";"M";"N"
25;"1905-12-31";"December";1905;"Unprovoked";"South Africa";"KwaZulu-Natal";"Back Beach, Durban";"Water leisure activity";"M";"Y"
26;"1923-07-02";"July";1923;"Unprovoked";"Australia";"Queensland";"Great Barrier Reef";"Water leisure activity";"M";"N"
27;"1906-01-20";"January";1906;"Unprovoked";"South Africa";"KwaZulu-Natal";"Battery Beach, Durban";"Incidents involving maintenance tasks or routine work";"M";"Y"
28;"1900-09-13";"September";1900;"Unprovoked";"USA";"Rhode Island";"Coddington Cove";"Water leisure activity";"M";"Not specified"
29;"1923-08-08";"August";1923;"Unprovoked";"Guyana";"Demerara County";"Off the Demerara River";"Fishing, catching, or hunting";"M";"N"
30;"1900-09-15";"September";1900;"Unprovoked";"Australia";"Queensland";"Townsville";"Water leisure activity";"M";"N"
31;"1906-01-28";"January";1906;"Unprovoked";"Australia";"New South Wales";"Georges River";"Water leisure activity";"M";"Y"
32;"1900-10-27";"October";1900;"Invalid";"South Africa";"Western Cape Province";"Woodstock Beach, Cape Town";"Water leisure activity";"M";"Y"
33;"1923-10-16";"October";1923;"Unprovoked";"Australia";"Torres Strait";"Near Thursday Island";"Water leisure activity";"M";"N"
34;"1923-10-17";"October";1923;"Boating";"Australia";"New South Wales";"Black Head, south of Taree";"Fishing, catching, or hunting";"Not specified";"N"
35;"1906-02-14";"February";1906;"Invalid";"New Zealand";"North Island";"Mototapu Island";"Water leisure activity";"M";"Y"
36;"1923-10-20";"October";1923;"Invalid";"Australia";"New South Wales";"Botany Bay, Sydney";"Recreational water sport";"M";"Y"
37;"1906-04-02";"April";1906;"Invalid";"Australia";"New South Wales";"Moodie Beach";"Not specified";"M";"Y"
38;"1900-11-14";"November";1900;"Unprovoked";"South Africa";"Western Cape Province";"Three Anchor Bay";"Water leisure activity";"M";"Y"
39;"1906-04-10";"April";1906;"Sea Disaster";"Indonesia";"Unknown";"Unknown";"Sea disaster";"M";"Y"
40;"1900-12-27";"December";1900;"Unprovoked";"Australia";"New South Wales";"Middle Harbour, Sydney";"Water leisure activity";"M";"Y"
41;"1923-11-02";"November";1923;"Invalid";"Australia";"New South Wales";"Bellinger Head";"Fishing, catching, or hunting";"M";"Y"
42;"1906-04-14";"April";1906;"Unprovoked";"Australia";"Queensland";"Lizard Island";"Water leisure activity";"M";"Y"
43;"1923-11-23";"November";1923;"Unprovoked";"Australia";"Western Australia";"Condon, 88 km NE of Port Hedland";"Fishing, catching, or hunting";"M";"Y"
44;"1906-04-16";"April";1906;"Provoked";"Australia";"Victoria";"Western Port Bay";"Irresponsible or dangerous behavior with sharks";"M";"N"
45;"1914-09-09";"September";1914;"Unprovoked";"USA";"Louisiana";"Lake Pontchartrain";"Water leisure activity";"M";"Y"
46;"1914-09-26";"September";1914;"Unprovoked";"Jamaica";"Kingston Parish";"Port Royal";"Accidents involving falling overboard from a vessel";"M";"Y"
47;"1914-10-17";"October";1914;"Sea Disaster";"Samoa";"Apolima Strait";"Opposite Apelima &  Manona";"Sinking or failure of vessel";"F";"N"
48;"1914-12-04";"December";1914;"Unprovoked";"Australia";"Queensland";"Magnetic Island";"Water leisure activity";"M";"N"
49;"1915-01-01";"January";1915;"Unprovoked";"Australia";"New South Wales";"Sirius Cove, Sydney Harbor";"Water leisure activity";"M";"Y"
50;"1915-01-13";"January";1915;"Invalid";"New Zealand";"North Island";"Otaki";"Fishing, catching, or hunting";"M";"Y"
51;"1915-02-06";"February";1915;"Unprovoked";"Australia";"Queensland";"Wynnum-Manley";"Water leisure activity";"M";"N"
52;"1915-03-29";"March";1915;"Unprovoked";"Australia";"Torres Strait";"Near Thursday Island";"Recreational water sport";"M";"N"
53;"1915-05-15";"May";1915;"Invalid";"Egypt";"Unknown";"Alexandria";"Accidents involving falling overboard from a vessel";"M";"Y"
54;"1915-07-06";"July";1915;"Unprovoked";"Mexico";"Unknown";"Santa Maria Bar";"Water leisure activity";"M";"Y"
55;"1915-07-06";"July";1915;"Unprovoked";"Mexico";"Tamaulipas";"Tampico";"Fishing, catching, or hunting";"M";"Y"
56;"1915-08-03";"August";1915;"Unprovoked";"USA";"Florida";"St. Augustine, St Johns County";"Not specified";"M";"N"
57;"1915-11-08";"November";1915;"Unprovoked";"Australia";"New South Wales";"Manly";"Water leisure activity";"M";"N"
58;"1915-11-10";"November";1915;"Unprovoked";"Australia";"Queensland";"Cabbage Tree Creek, Sandgate";"Water leisure activity";"M";"N"
59;"1915-12-09";"December";1915;"Unprovoked";"Australia";"Torres Strait";"Thursday Island";"Water leisure activity";"M";"N"
60;"1916-03-19";"March";1916;"Unprovoked";"Australia";"New South Wales";"Curl Curl";"Water leisure activity";"M";"N"
61;"1916-04-03";"April";1916;"Unprovoked";"Australia";"Victoria";"Carrum";"Recreational water sport";"M";"Y"
62;"1916-04-25";"April";1916;"Unprovoked";"Australia";"New South Wales";"Manley Beach";"Water leisure activity";"M";"Y"
63;"1916-06-23";"June";1916;"Provoked";"USA";"Florida";"Unknown";"Not specified";"M";"N"
64;"1916-06-30";"June";1916;"Unprovoked";"USA";"New Jersey";"Atlantic City, Atlantic County";"Water leisure activity";"M";"N"
65;"1916-07-01";"July";1916;"Unprovoked";"USA";"New Jersey";"Beach Haven, Ocean County";"Water leisure activity";"M";"Y"
66;"1916-07-06";"July";1916;"Unprovoked";"USA";"New Jersey";"Spring Lake, Monmouth County";"Water leisure activity";"M";"Y"
67;"1916-07-07";"July";1916;"Unprovoked";"Philippines";"Luzon Island";"Olongapo Harbor, Subic Bay";"Water leisure activity";"M";"N"
68;"1916-07-08";"July";1916;"Unprovoked";"Spain";"Gran Canaria";"Las Palmas";"Water leisure activity";"M";"N"
69;"1916-07-11";"July";1916;"Sea Disaster";"Bahamas";"Unknown";"Unknown";"Sea disaster";"M";"Y"
70;"1916-07-12";"July";1916;"Unprovoked";"USA";"New Jersey";"Matawan Creek, 10 miles from the sea, Monmouth County";"Water leisure activity";"M";"Y"
71;"1916-07-12";"July";1916;"Unprovoked";"USA";"New Jersey";"Matawan Creek, 10 miles from the sea, Monmouth County";"Water leisure activity";"M";"Y"
72;"1916-07-12";"July";1916;"Unprovoked";"USA";"New Jersey";"In Matawan Creek, off NJ Clay Company brickyards at Cliffwood, Monmouth County, 9.5 miles from the sea, Monmouth County";"Water leisure activity";"M";"N"
73;"1916-07-13";"July";1916;"Unprovoked";"USA";"New York";"Sheepshead Bay, Brooklyn";"Water leisure activity";"M";"N"
74;"1916-07-13";"July";1916;"Invalid";"USA";"New York";"Sheepshead Bay, Brooklyn";"Water leisure activity";"F";"N"
75;"1916-07-26";"July";1916;"Unprovoked";"USA";"North Carolina";"Atlantic, near New Bern, Craven County";"Fishing, catching, or hunting";"M";"N"
76;"1916-08-24";"August";1916;"Unprovoked";"USA";"Louisiana";"Grand Lake";"Fishing, catching, or hunting";"M";"N"
77;"1916-10-11";"October";1916;"Provoked";"USA";"Florida";"Sewell’s Point, near Palm Beach";"Fishing, catching, or hunting";"M";"Y"
78;"1916-11-09";"November";1916;"Unprovoked";"Australia";"Queensland";"Kissing Point Camp, Townsville";"Water leisure activity";"M";"Y"
79;"1923-12-02";"December";1923;"Unprovoked";"Australia";"New South Wales";"Urunga, Belliger Heads";"Water leisure activity";"M";"Y"
80;"1901-01-30";"January";1901;"Unprovoked";"Australia";"Queensland";"Brisbane";"Water leisure activity";"M";"Y"
81;"1923-12-12";"December";1923;"Unprovoked";"Australia";"New South Wales";"Murwillumbah, Tweed River";"Water leisure activity";"M";"N"
82;"1901-06-24";"June";1901;"Unprovoked";"Philippines";"Western Viscayas";"Island of Panay, Iliolo";"Water leisure activity";"M";"N"
83;"1924-01-19";"January";1924;"Unprovoked";"Australia";"New South Wales";"Near Asbestos Works, Camellia, Parramatta River";"Water leisure activity";"M";"Y"
84;"1901-06-29";"June";1901;"Invalid";"Yemen";"Aden";"Unknown";"Water leisure activity";"M";"Not specified"
85;"1906-04-27";"April";1906;"Unprovoked";"Indonesia";"Maluku Province";"Aru Islands";"Water leisure activity";"M";"Y"
86;"1924-01-25";"January";1924;"Unprovoked";"South Africa";"Eastern Cape Province";"St. George’s Strand, Port Elizabeth";"Water leisure activity";"M";"N"
87;"1901-07-17";"July";1901;"Invalid";"Italy";"Syracuse";"Capo Santa Croce";"Water leisure activity";"M";"Not specified"
88;"1924-01-29";"January";1924;"Unprovoked";"South Africa";"KwaZulu-Natal";"South Beach, Durban";"Water leisure activity";"M";"Y"
89;"1901-07-30";"July";1901;"Unprovoked";"South Africa";"Western Cape Province";"Windmill Beach";"Water leisure activity";"M";"Y"
90;"1924-02-08";"February";1924;"Invalid";"Australia";"Queensland";"Currumbin";"Water leisure activity";"M";"Not specified"
91;"1901-09-23";"September";1901;"Unprovoked";"Cyprus";"Southern Cyprus";"Larnaca";"Water leisure activity";"M";"Y"
92;"1906-07-01";"July";1906;"Invalid";"Mozambique";"Maputo Province";"Lourenco Marques";"Not specified";"M";"Y"
93;"1906-07-05";"July";1906;"Unprovoked";"USA";"Mississippi";"Bay St. Louis, Hancock County";"Water leisure activity";"M";"Y"
94;"1924-02-13";"February";1924;"Unprovoked";"Australia";"New South Wales";"Bronte";"Water leisure activity";"F";"N"
95;"1901-10-01";"October";1901;"Unprovoked";"Philippines";"Zamboanga del Sur Province";"Port Isabela de Basilan";"Fishing, catching, or hunting";"M";"N"
96;"1924-03-24";"March";1924;"Boating";"Spain";"Galica";"Sisargas Islands";"Fishing, catching, or hunting";"Not specified";"N"
97;"1901-12-01";"December";1901;"Unprovoked";"Australia";"Queensland";"Brisbane";"Water leisure activity";"M";"N"
98;"1924-03-28";"March";1924;"Unprovoked";"Solomon Islands";"Central Province";"Savo Island";"Water leisure activity";"M";"N"
99;"1902-01-19";"January";1902;"Unprovoked";"Australia";"Queensland";"Brisbane";"Water leisure activity";"M";"N"
100;"1906-08-04";"August";1906;"Unprovoked";"USA";"Maryland";"Tangier Sound, Somerset County";"Accidents involving falling overboard from a vessel";"M";"Y"
101;"1902-01-19";"January";1902;"Invalid";"South Africa";"KwaZulu-Natal";"Durban";"Not specified";"M";"Y"
102;"1924-04-20";"April";1924;"Invalid";"Australia";"Western Australia";"Fremantle";"Water leisure activity";"M";"N"
103;"1906-08-20";"August";1906;"Unprovoked";"Yemen";"Aden";"Unknown";"Water leisure activity";"M";"N"
104;"1924-04-25";"April";1924;"Unprovoked";"Australia";"New South Wales";"Kiama";"Fishing, catching, or hunting";"M";"Y"
105;"1906-09-01";"September";1906;"Provoked";"USA";"California";"Avalon, Los Angeles County";"Fishing, catching, or hunting";"M";"N"
106;"1924-06-18";"June";1924;"Provoked";"USA";"Florida";"Bayboro, Pinellas County";"Fishing, catching, or hunting";"M";"N"
107;"1902-01-25";"January";1902;"Unprovoked";"Australia";"New South Wales";"Kerosene Bay";"Water leisure activity";"M";"Y"
108;"1924-07-04";"July";1924;"Boating";"USA";"California";"Newport Beach, Orange County";"Fishing, catching, or hunting";"M";"N"
109;"1902-02-22";"February";1902;"Provoked";"New Zealand";"North Island";"Poverty Bay";"Water leisure activity";"M";"N"
110;"1906-09-05";"September";1906;"Unprovoked";"Australia";"Torres Strait";"Mabiuag";"Water leisure activity";"M";"Y"
111;"1906-09-27";"September";1906;"Unprovoked";"Indonesia";"Java";"Lorok Bay";"Water leisure activity";"M";"Y"
112;"1902-04-01";"April";1902;"Invalid";"South Africa";"Eastern Cape Province";"Algoa Bay";"Water leisure activity";"M";"Y"
113;"1906-09-27";"September";1906;"Unprovoked";"Indonesia";"Java";"Lorok Bay";"Water leisure activity";"M";"N"
114;"1924-07-14";"July";1924;"Provoked";"England";"Dorset";"Weymouth";"Fishing, catching, or hunting";"M";"N"
115;"1924-07-31";"July";1924;"Unprovoked";"USA";"South Carolina";"Folly Island, near Charleston";"Water leisure activity";"M";"N"
116;"1902-06-01";"June";1902;"Unprovoked";"Egypt";"Mediterranean Sea";"Tzortzou Reef, Marsa Matruh";"Water leisure activity";"M";"N"
117;"1924-10-18";"October";1924;"Unprovoked";"Australia";"Victoria";"Port Melbourne";"Water leisure activity";"M";"N"
118;"1906-10-10";"October";1906;"Unprovoked";"USA";"Hawaii";"Unknown";"Water leisure activity";"M";"Y"
119;"1924-10-31";"October";1924;"Provoked";"French Polynesia";"Tuamotus";"Rangiroa";"Water leisure activity";"M";"N"
120;"1902-06-02";"June";1902;"Unprovoked";"Philippines";"Zamboanga del Sur Province";"Near mouth of River Cumalarang, 5 miles from Port Isabela, Basilan Island";"Not specified";"M";"N"
121;"1906-10-10";"October";1906;"Unprovoked";"USA";"Hawaii";"Unknown";"Water leisure activity";"M";"N"
122;"1902-07-06";"July";1902;"Provoked";"USA";"New Jersey";"Atlantic City, Atlantic County";"Water leisure activity";"M";"N"
123;"1906-10-10";"October";1906;"Unprovoked";"USA";"Hawaii";"Unknown";"Water leisure activity";"M";"Y"
124;"1906-10-10";"October";1906;"Unprovoked";"USA";"Hawaii";"Unknown";"Not specified";"M";"N"
125;"1902-07-15";"July";1902;"Provoked";"Italy";"Liguria";"Galliera dock, Genoa";"Fishing, catching, or hunting";"M";"N"
126;"1924-11-21";"November";1924;"Unprovoked";"USA";"Puerto Rico";"Santurce";"Water leisure activity";"M";"Y"
127;"1924-11-25";"November";1924;"Unprovoked";"Mexico";"Tamaulipas";"Tampico";"Accidents involving falling overboard from a vessel";"F";"Y"
128;"1906-11-16";"November";1906;"Unprovoked";"Jamaica";"Westmoreland Parish";"Cabaritta River mouth";"Fishing, catching, or hunting";"M";"N"
129;"1902-08-08";"August";1902;"Unprovoked";"USA";"Hawaii";"Kalihi, O'ahu";"Fishing, catching, or hunting";"M";"Y"
130;"1925-01-08";"January";1925;"Unprovoked";"Canada";"Vancouver";"Second Narrows in Burrard Inlet";"Water leisure activity";"M";"N"
131;"1907-02-03";"February";1907;"Unprovoked";"Australia";"Queensland";"Ross Creek";"Water leisure activity";"M";"Y"
132;"1925-01-27";"January";1925;"Unprovoked";"USA";"Florida";"Miami Beach, Miami-Dade County";"Water leisure activity";"M";"N"
133;"1902-08-24";"August";1902;"Boating";"Croatia";"Istria County";"Porec";"Fishing, catching, or hunting";"M";"N"
134;"1907-02-05";"February";1907;"Unprovoked";"New Zealand";"South Island";"Port Moeraki";"Water leisure activity";"M";"Y"
135;"1925-03-10";"March";1925;"Unprovoked";"Papua New Guinea";"Central Province";"Hula";"Water leisure activity";"M";"Y"
136;"1907-02-09";"February";1907;"Unprovoked";"Philippines";"Luzon Island";"Manila Bay";"Sinking or failure of vessel";"M";"N"
137;"1925-03-12";"March";1925;"Unprovoked";"Australia";"New South Wales";"Newcastle Beach";"Water leisure activity";"M";"Y"
138;"1902-08-28";"August";1902;"Unprovoked";"Italy";"Calabria";"Nicotera";"Water leisure activity";"M";"Y"
139;"1925-03-27";"March";1925;"Unprovoked";"Australia";"New South Wales";"Coogee";"Water leisure activity";"M";"N"
140;"1902-11-01";"November";1902;"Unprovoked";"USA";"Texas";"Near Port Lavaca, Calhoun County";"Fishing, catching, or hunting";"M";"N"
141;"1907-03-07";"March";1907;"Unprovoked";"Malta";"Harare Province";"Marsaskala";"Fishing, catching, or hunting";"M";"Y"
142;"1907-03-26";"March";1907;"Unprovoked";"USA";"Florida";"Garden Key, Charlotte County";"Fishing, catching, or hunting";"M";"Y"
143;"1902-11-10";"November";1902;"Unprovoked";"Australia";"New South Wales";"Middle Harbour, Sydney";"Water leisure activity";"M";"Y"
144;"1925-05-01";"May";1925;"Unprovoked";"USA";"Puerto Rico";"Condado Beach, San Juan";"Not specified";"M";"N"
145;"1902-12-22";"December";1902;"Unprovoked";"Nicaragua";"Rio San Juan";"Greytown";"Water leisure activity";"M";"Y"
146;"1907-04-20";"April";1907;"Unprovoked";"Mexico";"Oaxaca";"Salina Cruz";"Water leisure activity";"M";"N"
147;"1903-01-10";"January";1903;"Unprovoked";"Australia";"New South Wales";"Lane Cove River, Sydney Harbor (Estuary)";"Not specified";"M";"Y"
148;"1925-06-15";"June";1925;"Invalid";"Australia";"Western Australia";"Princess Royal Harbor, near King George’s Sound";"Not specified";"Not specified";"Not specified"
149;"1907-07-01";"July";1907;"Unprovoked";"USA";"South Carolina";"Small creek near Coles Island";"Water leisure activity";"M";"N"
150;"1907-07-04";"July";1907;"Invalid";"Australia";"Queensland";"Karra Garra";"Not specified";"M";"Y"
151;"1925-08-02";"August";1925;"Unprovoked";"USA";"South Carolina";"Folly Island, near Charleston";"Water leisure activity";"F";"N"
152;"1903-03-12";"March";1903;"Unprovoked";"Australia";"Queensland";"Logan River";"Water leisure activity";"M";"Y"
153;"1907-07-14";"July";1907;"Unprovoked";"Croatia";"Split-Dalmatia Count,";"Suuraj, Hvar Island";"Water leisure activity";"F";"Y"
154;"1925-09-03";"September";1925;"Unprovoked";"England";"Isle of Wight";"Off Shanklin";"Fishing, catching, or hunting";"M";"N"
155;"1925-09-04";"September";1925;"Provoked";"Spain";"Valencia";"Valencia";"Fishing, catching, or hunting";"M";"N"
156;"1925-11-01";"November";1925;"Unprovoked";"USA";"Puerto Rico";"Condado Beach, San Juan";"Not specified";"M";"N"
157;"1907-08-08";"August";1907;"Unprovoked";"USA";"New Jersey";"Lower Delaware Bay";"Water leisure activity";"M";"N"
158;"1903-03-20";"March";1903;"Unprovoked";"Australia";"New South Wales";"Sydney";"Disappearances, investigations into crime, or suicide";"M";"Y"
159;"1925-11-01";"November";1925;"Unprovoked";"USA";"Puerto Rico";"Condado Beach, San Juan";"Not specified";"Not specified";"N"
160;"1907-08-12";"August";1907;"Unprovoked";"Croatia";"Primorje-Gorski Kotar County";"Krk Island";"Water leisure activity";"M";"Y"
161;"1903-05-04";"May";1903;"Unprovoked";"Mexico";"Veracruz";"Coatzacoalcos";"Water leisure activity";"M";"Y"
162;"1903-06-21";"June";1903;"Unprovoked";"Australia";"New South Wales";"Georges River";"Water leisure activity";"M";"Y"
163;"1903-07-01";"July";1903;"Unprovoked";"Falkland Islands";"Unknown";"Unknown";"Accidents involving falling overboard from a vessel";"M";"N"
164;"1907-08-12";"August";1907;"Unprovoked";"Croatia";"Primorje-Gorski Kotar County";"Krk Island";"Water leisure activity";"F";"Y"
165;"1903-09-16";"September";1903;"Unprovoked";"USA";"New Jersey";"Atlantic City, Atlantic County";"Fishing, catching, or hunting";"M";"N"
166;"1907-09-11";"September";1907;"Unprovoked";"Croatia";"Split-Dalmatia Count,";"Sucurja, Hvar Island,";"Water leisure activity";"F";"Y"
167;"1925-11-22";"November";1925;"Unprovoked";"Australia";"Western Australia";"Cottesloe Beach";"Water leisure activity";"M";"Y"
168;"1907-09-18";"September";1907;"Invalid";"England";"English Channel";"Unknown";"Water leisure activity";"M";"N"
169;"1903-10-04";"October";1903;"Unprovoked";"Cuba";"Havana Province";"Havana Harbor";"Accidents involving falling overboard from a vessel";"M";"Y"
170;"1926-01-01";"January";1926;"Unprovoked";"Australia";"Victoria";"Unknown";"Not specified";"M";"N"
171;"1907-10-08";"October";1907;"Unprovoked";"USA";"Hawaii";"Kalepolepo, Kihei, Maui";"Fishing, catching, or hunting";"M";"N"
172;"1926-01-26";"January";1926;"Unprovoked";"South Africa";"Eastern Cape Province";"Hamburg";"Water leisure activity";"M";"N"
173;"1907-10-12";"October";1907;"Invalid";"Haiti";"Tiburon Peninsula";"Aux Cayes (now Les Cayes)";"Accidents involving falling overboard from a vessel";"M";"N"
174;"1926-03-17";"March";1926;"Unprovoked";"Australia";"South Australia";"West Beach, Brighton";"Water leisure activity";"F";"Y"
175;"1926-04-07";"April";1926;"Unprovoked";"USA";"Hawaii";"Hilo Bay Yacht Club, Hilo, Hawai'i";"Water leisure activity";"F";"N"
176;"1926-05-18";"May";1926;"Unprovoked";"USA";"Hawaii";"Hale'iwa, O'ahu";"Water leisure activity";"M";"Y"
177;"1904-01-23";"January";1904;"Unprovoked";"New Caledonia";"South Province";"Noumea";"Water leisure activity";"M";"Y"
178;"1926-07-03";"July";1926;"Invalid";"Spain";"Sants-Montjic";"Casa Antunez Beach, Barcelona";"Water leisure activity";"M";"N"
179;"1904-02-04";"February";1904;"Unprovoked";"New Zealand";"North Island";"Waitara";"Water leisure activity";"M";"Y"
180;"1904-02-07";"February";1904;"Unprovoked";"Australia";"Queensland";"Brisbane";"Water leisure activity";"M";"Y"
181;"1907-10-14";"October";1907;"Unprovoked";"Australia";"New South Wales";"Merewether Beach, near Newcastle";"Water leisure activity";"M";"N"
182;"1904-07-01";"July";1904;"Unprovoked";"Italy";"Ancona Province";"Ancona";"Water leisure activity";"M";"Y"
183;"1926-07-08";"July";1926;"Unprovoked";"USA";"California";"San Francisco Bay (or San Leandro Bay), near cannery, Alameda County";"Water leisure activity";"M";"N"
184;"1904-07-27";"July";1904;"Unprovoked";"USA";"Texas";"Unknown";"Water leisure activity";"M";"Y"
185;"1907-10-16";"October";1907;"Unprovoked";"China";"Hong Kong";"Sharp Peak, Sai Kung Peninsula, New Territories";"Fishing, catching, or hunting";"M";"Y"
186;"1926-07-12";"July";1926;"Boating";"USA";"New Jersey";"Unknown";"Fishing, catching, or hunting";"M";"N"
187;"1907-10-16";"October";1907;"Unprovoked";"China";"Hong Kong";"Sharp Peak, Sai Kung Peninsula, New Territories";"Fishing, catching, or hunting";"M";"N"
188;"1904-07-28";"July";1904;"Unprovoked";"USA";"New Jersey";"Shrewsbury River,  Monmouth County";"Recreational water sport";"M";"N"
189;"1926-07-23";"July";1926;"Unprovoked";"Italy";"Golfo di Genova in the Ligurian Sea";"Varazze";"Water leisure activity";"M";"Y"
190;"1907-10-18";"October";1907;"Unprovoked";"Australia";"Torres Strait";"Near Thursday Island";"Water leisure activity";"M";"Y"
191;"1904-08-01";"August";1904;"Unprovoked";"Cuba";"Villa Clara Province";"Caibarien Harbor";"Sinking or failure of vessel";"M";"Y"
192;"1926-08-24";"August";1926;"Unprovoked";"USA";"New Jersey";"Seaside, Ocean County";"Water leisure activity";"M";"Y"
193;"1907-12-21";"December";1907;"Unprovoked";"Australia";"New South Wales";"Middle Harbour, Sugarloaf Bay, Sydney (Estuary)";"Water leisure activity";"M";"Y"
194;"1926-09-06";"September";1926;"Unprovoked";"Papua New Guinea";"Unknown";"Near Port Moresby";"Water leisure activity";"M";"Y"
195;"1908-01-08";"January";1908;"Unprovoked";"USA";"Hawaii";"Mana, Kaua'i";"Fishing, catching, or hunting";"M";"Y"
196;"1926-10-23";"October";1926;"Sea Disaster";"Bermuda";"Unknown";"Unknown";"Sea disaster";"Not specified";"N"
197;"1908-05-10";"May";1908;"Invalid";"USA";"Florida";"Marathon, Monroe County";"Not specified";"M";"Y"
198;"1926-10-23";"October";1926;"Unprovoked";"Australia";"New South Wales";"Clarence River";"Water leisure activity";"M";"N"
199;"1904-09-01";"September";1904;"Unprovoked";"Cuba";"Havana Province";"Havana Harbor";"Accidents involving falling overboard from a vessel";"M";"Y"
200;"1908-05-13";"May";1908;"Sea Disaster";"Indonesia";"Java";"Jakarta Harbor";"Sinking or failure of vessel";"Not specified";"Y"
201;"1904-11-02";"November";1904;"Unprovoked";"Philippines";"Luzon Island";"Inner Harbor, Olongapo";"Water leisure activity";"M";"N"
202;"1905-01-01";"January";1905;"Invalid";"Australia";"Victoria";"Elwood";"Water leisure activity";"M";"Y"
203;"1926-10-29";"October";1926;"Unprovoked";"Papua New Guinea";"Central Province";"Roku Point";"Water leisure activity";"M";"Y"
204;"1905-02-10";"February";1905;"Invalid";"Australia";"Victoria";"Elwood";"Water leisure activity";"M";"Y"
205;"1926-11-17";"November";1926;"Unprovoked";"Australia";"Torres Strait";"Near Thursday Island";"Water leisure activity";"M";"N"
206;"1908-06-02";"June";1908;"Sea Disaster";"Papua New Guinea";"New Britain";"Matupi";"Not specified";"Not specified";"Y"
207;"1926-12-02";"December";1926;"Unprovoked";"Australia";"Torres Strait";"Palm Island";"Water leisure activity";"M";"Y"
208;"1908-06-08";"June";1908;"Sea Disaster";"USA";"Georgia";"Unknown";"Sinking or failure of vessel";"M";"Y"
209;"1905-03-25";"March";1905;"Invalid";"Australia";"Tasmania";"Bridport";"Water leisure activity";"Not specified";"Y"
210;"1927-01-03";"January";1927;"Unprovoked";"Australia";"New South Wales";"Grey’s Point, Port Hacking";"Water leisure activity";"M";"Y"
211;"1908-06-18";"June";1908;"Unprovoked";"Egypt";"Gulf of Suez";"Off Ras Gharib";"Sinking or failure of vessel";"M";"Y"
212;"1905-03-26";"March";1905;"Unprovoked";"Australia";"New South Wales";"Lismore";"Water leisure activity";"M";"N"
