"id";"date";"month_name";"year";"type";"country";"area";"location";"activity";"sex";"fatal"
672;"1937-02-02";"February";1937;"Invalid";"Australia";"South Australia";"Port Germein";"Sinking or failure of vessel";"M";"Y"
673;"1933-02-26";"February";1933;"Unprovoked";"Australia";"New South Wales";"Sydney";"Water leisure activity";"M";"N"
674;"1937-02-03";"February";1937;"Provoked";"Australia";"Queensland";"Moreton Island";"Fishing, catching, or hunting";"M";"N"
675;"1943-09-23";"September";1943;"Unprovoked";"Panama";"Gulf of Panama";"North shore of Rey Island, Las Perlas archipelago";"Accidents involving falling overboard from a vessel";"M";"Y"
676;"1933-04-10";"April";1933;"Unprovoked";"USA";"Florida";"Miami Beach, Miami-Dade County";"Water leisure activity";"M";"Y"
677;"1922-12-14";"December";1922;"Unprovoked";"USA";"Puerto Rico";"San Juan";"Water leisure activity";"F";"Y"
678;"1943-10-26";"October";1943;"Invalid";"USA";"Florida";"Victim was on said to be on tanker that collided off Florida coast on 10-20-1943";"Not specified";"M";"N"
679;"1933-05-03";"May";1933;"Sea Disaster";"Cuba";"Havana Province";"Off Jaimanitas Yacht Club, Havana";"Water leisure activity";"M";"Y"
680;"1943-11-21";"November";1943;"Unprovoked";"South Africa";"Eastern Cape Province";"Kei River Mouth";"Water leisure activity";"M";"N"
681;"1937-02-04";"February";1937;"Boating";"Australia";"New South Wales";"Botany Bay";"Fishing, catching, or hunting";"Not specified";"N"
682;"1923-01-13";"January";1923;"Invalid";"Cuba";"Caribbean Sea";"Unknown";"Air disaster";"M";"Y"
683;"1923-01-27";"January";1923;"Unprovoked";"Australia";"Western Australia";"In Swan River at Freshwater Bay, Claremont, 5 miles from river mouth";"Water leisure activity";"M";"Y"
684;"1937-02-11";"February";1937;"Unprovoked";"Australia";"New South Wales";"Kempsey";"Water leisure activity";"Not specified";"N"
685;"1923-01-27";"January";1923;"Invalid";"Australia";"Western Australia";"Bunbury";"Not specified";"M";"Not specified"
686;"1937-02-13";"February";1937;"Unprovoked";"Australia";"New South Wales";"Bar Beach, Newcastle";"Water leisure activity";"M";"Y"
687;"1933-05-23";"May";1933;"Provoked";"Australia";"Queensland";"Off Stradbroke Island";"Fishing, catching, or hunting";"M";"N"
688;"1933-05-24";"May";1933;"Sea Disaster";"Barbados";"St Michael Parish";"Off Pelican Island";"Sinking or failure of vessel";"Not specified";"Y"
689;"1937-03-09";"March";1937;"Invalid";"Australia";"Victoria";"Port Melbourne";"Water leisure activity";"M";"Y"
690;"1923-02-01";"February";1923;"Unprovoked";"USA";"Puerto Rico";"San Juan";"Water leisure activity";"M";"N"
691;"1933-06-08";"June";1933;"Unprovoked";"Australia";"Queensland";"Currumbin";"Water leisure activity";"M";"N"
692;"1937-03-26";"March";1937;"Invalid";"Australia";"New South Wales";"South Cronulla";"Water leisure activity";"M";"N"
693;"1923-03-18";"March";1923;"Unprovoked";"Australia";"Queensland";"Ross River, Townsville";"Water leisure activity";"M";"N"
694;"1933-06-13";"June";1933;"Invalid";"Australia";"Northern Territory";"Darwin";"Fishing, catching, or hunting";"M";"N"
695;"1937-05-15";"May";1937;"Unprovoked";"Australia";"Queensland";"Ross River, Townsville";"Water leisure activity";"M";"Y"
696;"1933-06-16";"June";1933;"Unprovoked";"USA";"South Carolina";"Folly Island, near Charleston";"Water leisure activity";"F";"N"
697;"1937-05-30";"May";1937;"Provoked";"USA";"Texas";"Galveston";"Fishing, catching, or hunting";"M";"N"
698;"1933-06-21";"June";1933;"Unprovoked";"USA";"South Carolina";"North end of Morris Island at mouth of Charleston Harbor";"Water leisure activity";"M";"N"
699;"1937-06-15";"June";1937;"Unprovoked";"USA";"Texas";"Galveston";"Water leisure activity";"M";"Y"
700;"1937-06-15";"June";1937;"Provoked";"Australia";"New South Wales";"Wallamba River, near entrance to Wallis Lake";"Fishing, catching, or hunting";"M";"N"
701;"1933-07-03";"July";1933;"Unprovoked";"Australia";"Western Australia";"Broome";"Water leisure activity";"M";"N"
702;"1933-07-07";"July";1933;"Unprovoked";"USA";"California";"San Diego, San Diego County";"Not specified";"M";"N"
703;"1933-08-26";"August";1933;"Unprovoked";"USA";"Connecticut";"Mystic River";"Water leisure activity";"F";"N"
704;"1933-08-28";"August";1933;"Unprovoked";"USA";"South Carolina";"Pawley’s Island, north of Charleston";"Water leisure activity";"M";"N"
705;"1933-08-28";"August";1933;"Provoked";"USA";"California";"Hermosa Beach, Los Angeles County";"Fishing, catching, or hunting";"M";"N"
706;"1933-09-27";"September";1933;"Boating";"Israel";"Unknown";"Nabi Rubin";"Fishing, catching, or hunting";"M";"N"
707;"1933-10-25";"October";1933;"Unprovoked";"Australia";"Queensland";"Off Bloomfield River";"Water leisure activity";"M";"N"
708;"1946-01-05";"January";1946;"Unprovoked";"Australia";"New South Wales";"Oatley Bay near Como, George’s River";"Water leisure activity";"F";"Y"
709;"1946-01-07";"January";1946;"Unprovoked";"South Africa";"Western Cape Province";"False Bay";"Water leisure activity";"M";"N"
710;"1946-01-17";"January";1946;"Unprovoked";"Australia";"Queensland";"Townsville";"Not specified";"M";"N"
711;"1933-11-18";"November";1933;"Unprovoked";"Australia";"Queensland";"Near Barrow Point";"Water leisure activity";"M";"N"
712;"1946-01-24";"January";1946;"Unprovoked";"South Africa";"KwaZulu-Natal";"Battery Beach, Durban";"Water leisure activity";"M";"N"
713;"1933-11-20";"November";1933;"Unprovoked";"Australia";"Torres Strait";"Near Boydong Cay";"Water leisure activity";"M";"Y"
714;"1946-01-24";"January";1946;"Unprovoked";"South Africa";"KwaZulu-Natal";"Battery Beach, Durban";"Water leisure activity";"M";"N"
715;"1934-01-07";"January";1934;"Unprovoked";"Australia";"New South Wales";"Queenscliff";"Water leisure activity";"M";"N"
716;"1946-02-10";"February";1946;"Unprovoked";"South Africa";"KwaZulu-Natal";"Battery Beach, Durban";"Water leisure activity";"M";"N"
717;"1943-12-04";"December";1943;"Sea Disaster";"USA";"South Carolina";"Off Charleston";"Sinking or failure of vessel";"M";"Y"
718;"1934-01-08";"January";1934;"Boating";"Turkey";"Istanbul";"Haydarpasa jetty, Istanbul";"Fishing, catching, or hunting";"M";"N"
719;"1946-02-10";"February";1946;"Unprovoked";"Australia";"Western Australia";"City Beach, Perth";"Water leisure activity";"M";"N"
720;"1943-12-12";"December";1943;"Unprovoked";"South Africa";"KwaZulu-Natal";"Inyoni Rocks, Amazimtoti";"Water leisure activity";"M";"Y"
721;"1934-01-27";"January";1934;"Unprovoked";"Australia";"New South Wales";"Lambeth Street Wharf, George’s River, East Hills (20 miles from river mouth)";"Water leisure activity";"M";"N"
722;"1946-02-16";"February";1946;"Unprovoked";"South Africa";"KwaZulu-Natal";"South Beach, Durban";"Water leisure activity";"M";"N"
723;"1944-01-04";"January";1944;"Unprovoked";"South Africa";"KwaZulu-Natal";"North Beach, Durban";"Water leisure activity";"M";"Y"
724;"1934-02-22";"February";1934;"Unprovoked";"Chile";"Elqui Province";"Coquimbo";"Accidents involving falling overboard from a vessel";"M";"Y"
725;"1946-03-20";"March";1946;"Boating";"Australia";"South Australia";"Grange";"Fishing, catching, or hunting";"M";"N"
726;"1946-04-01";"April";1946;"Boating";"Australia";"South Australia";"Port Newby";"Fishing, catching, or hunting";"Not specified";"N"
727;"1944-01-14";"January";1944;"Unprovoked";"Australia";"New South Wales";"First Beach, Forster";"Recreational water sport";"M";"N"
728;"1946-04-19";"April";1946;"Unprovoked";"Australia";"Queensland";"Trinity Beach, Cairns";"Water leisure activity";"M";"Y"
729;"1944-01-16";"January";1944;"Boating";"Australia";"Western Australia";"Cottesloe, Perth";"Fishing, catching, or hunting";"M";"N"
730;"1946-05-09";"May";1946;"Unprovoked";"Tanzania";"Dar-es-Salaam";"Dar-es-Salaam harbor";"Water leisure activity";"M";"N"
731;"1944-01-20";"January";1944;"Unprovoked";"South Africa";"KwaZulu-Natal";"North Beach, Durban";"Recreational water sport";"M";"Y"
732;"1946-06-28";"June";1946;"Unprovoked";"India";"Unknown";"Chennai";"Water leisure activity";"M";"N"
733;"1944-02-18";"February";1944;"Unprovoked";"India";"Unknown";"Triplicane Beach, Chennai";"Water leisure activity";"M";"Y"
